ride_id,ride_date,ride_time,year,month,day,city,customer_id,driver_id,gender,age,pickup_location,drop_location,distance_km,ride_duration_min,cab_type,booking_type,payment_method,base_fare,surge_multiplier,total_fare,driver_rating,customer_rating,ride_status,cancellation_reason,peak_hour
100000,2025-03-08,21:47,2025,March,Saturday,Bangalore,2907,2993,Female,55,CP,Gachibowli,7.1,39,Mini,App,UPI,135.2,1.2,162.24,4.3,4.4,Completed,,Yes
100001,2024-04-05,16:32,2024,April,Friday,Delhi,1237,4258,Male,29,Bandra,Hinjewadi,7.4,61,Sedan,App,UPI,138.8,1.5,208.2,3.7,4.6,Completed,,Yes
100002,2025-08-23,15:18,2025,August,Saturday,Delhi,2637,6583,Female,39,Wakad,Whitefield,13.4,50,SUV,App,Cash,210.8,1.1,231.88,4.1,4.3,Completed,,No
100003,2024-11-21,08:24,2024,November,Thursday,Bangalore,2426,5515,Female,20,Andheri,Bandra,16.6,24,Sedan,App,Card,249.2,1.0,249.2,4.4,3.9,Completed,,No
100004,2024-02-27,21:47,2024,February,Tuesday,Bangalore,1690,2829,Male,57,Hinjewadi,Whitefield,19.9,7,SUV,App,UPI,288.8,1.1,317.68,4.8,3.6,Completed,,No
100005,2024-10-11,14:07,2024,October,Friday,Pune,3134,3566,Male,46,Gachibowli,Rohini,11.9,50,Sedan,App,Card,192.8,1.3,250.64,4.0,4.7,Completed,,Yes
100006,2025-09-20,00:45,2025,September,Saturday,Hyderabad,3989,6608,Female,50,Gachibowli,Bandra,17.0,12,Sedan,App,Card,254.0,1.1,279.4,3.6,3.9,Completed,,No
100007,2023-08-29,03:39,2023,August,Tuesday,Bangalore,2984,4638,Female,56,Whitefield,CP,18.7,70,SUV,App,Cash,274.4,1.1,301.84,3.6,4.7,Completed,,No
100008,2023-04-02,22:45,2023,April,Sunday,Delhi,3629,5868,Female,49,CP,Gachibowli,5.2,57,Sedan,App,UPI,112.4,1.3,146.12,3.8,5.0,Completed,,Yes
100009,2025-08-04,13:41,2025,August,Monday,Delhi,2279,4072,Male,51,CP,CP,24.2,29,SUV,App,Cash,340.4,1.3,442.52,4.1,4.8,Completed,,Yes
100010,2023-06-08,19:49,2023,June,Thursday,Hyderabad,1968,4824,Female,34,Bandra,Hinjewadi,10.7,48,Mini,App,UPI,178.4,1.1,196.24,3.9,3.9,Completed,,No
100011,2024-08-13,06:02,2024,August,Tuesday,Hyderabad,4300,2571,Female,48,Andheri,Whitefield,7.9,36,Mini,App,UPI,144.8,1.5,217.2,4.8,4.3,Completed,,Yes
100012,2024-05-15,07:20,2024,May,Wednesday,Bangalore,2048,6554,Male,50,Whitefield,Whitefield,14.8,44,Sedan,App,UPI,227.6,1.2,273.12,3.7,4.8,Cancelled,App issue,Yes
100013,2023-03-24,17:54,2023,March,Friday,Mumbai,3265,6937,Female,39,Indiranagar,Madhapur,23.4,39,Mini,App,Card,330.8,1.2,396.96,3.5,3.7,Completed,,Yes
100014,2023-04-06,15:02,2023,April,Thursday,Delhi,2658,2708,Male,35,Bandra,Hinjewadi,6.3,18,Sedan,App,Cash,125.6,1.5,188.4,4.5,3.7,Cancelled,Driver unavailable,Yes
100015,2024-12-28,11:08,2024,December,Saturday,Mumbai,2228,6881,Male,30,Andheri,Gachibowli,3.3,63,Mini,App,Cash,89.6,1.3,116.48,4.4,3.6,Cancelled,Customer no-show,Yes
100016,2023-06-03,21:45,2023,June,Saturday,Pune,3542,2177,Female,33,Andheri,Rohini,18.4,25,Sedan,App,Card,270.8,1.2,324.96,4.4,4.7,Completed,,Yes
100017,2024-06-30,04:30,2024,June,Sunday,Delhi,3541,6487,Male,34,Madhapur,CP,6.9,52,SUV,App,Cash,132.8,1.5,199.2,4.5,4.4,Cancelled,Customer no-show,Yes
100018,2023-09-21,10:01,2023,September,Thursday,Pune,2806,5207,Female,34,Madhapur,Andheri,9.9,63,SUV,App,Cash,168.8,1.2,202.56,3.8,4.5,Completed,,Yes
100019,2023-03-12,13:02,2023,March,Sunday,Pune,2137,3258,Female,43,Hinjewadi,Madhapur,16.7,23,Sedan,App,Cash,250.4,1.5,375.6,4.8,3.8,Cancelled,App issue,Yes
100020,2023-09-28,09:30,2023,September,Thursday,Bangalore,4705,3205,Male,57,Andheri,CP,8.0,20,SUV,App,Card,146.0,1.5,219.0,4.9,3.5,Completed,,Yes
100021,2023-02-24,16:10,2023,February,Friday,Mumbai,1000,6837,Male,44,Andheri,Wakad,24.8,17,SUV,App,Cash,347.6,1.1,382.36,4.0,4.7,Cancelled,App issue,No
100022,2023-04-29,05:45,2023,April,Saturday,Delhi,4568,4431,Female,43,Gachibowli,Whitefield,7.0,56,Mini,App,Cash,134.0,1.1,147.4,4.2,4.5,Completed,,No
100023,2024-06-28,01:18,2024,June,Friday,Mumbai,2979,2626,Female,59,Rohini,Indiranagar,14.4,46,Sedan,App,Card,222.8,1.1,245.08,3.9,4.6,Completed,,No
100024,2023-11-08,04:30,2023,November,Wednesday,Mumbai,2064,6381,Male,51,Madhapur,Bandra,2.4,68,SUV,App,UPI,78.8,1.0,78.8,4.2,4.1,Completed,,No
100025,2025-08-20,18:18,2025,August,Wednesday,Delhi,1736,2508,Female,56,Indiranagar,Gachibowli,2.9,36,Mini,App,Card,84.8,1.1,93.28,3.7,4.6,Completed,,No
100026,2024-12-08,09:33,2024,December,Sunday,Pune,2363,3853,Female,38,Whitefield,Indiranagar,14.8,19,Mini,App,Card,227.6,1.5,341.4,4.3,3.6,Completed,,Yes
100027,2023-10-04,14:47,2023,October,Wednesday,Pune,4399,2201,Male,51,Rohini,Rohini,4.0,26,Sedan,App,Cash,98.0,1.0,98.0,4.4,3.7,Completed,,No
100028,2024-11-02,13:16,2024,November,Saturday,Mumbai,3944,4246,Female,33,Rohini,Hinjewadi,9.7,51,Mini,App,Card,166.4,1.5,249.6,4.1,3.7,Completed,,Yes
100029,2023-06-09,10:17,2023,June,Friday,Bangalore,3166,4402,Female,30,Gachibowli,Andheri,2.3,9,Mini,App,Cash,77.6,1.0,77.6,4.6,4.3,Completed,,No
100030,2024-09-07,14:20,2024,September,Saturday,Pune,3602,3004,Female,34,Bandra,Indiranagar,16.3,26,Mini,App,Card,245.6,1.3,319.28,3.9,4.7,Completed,,Yes
100031,2023-10-09,19:30,2023,October,Monday,Bangalore,2202,5278,Female,36,Andheri,Madhapur,3.3,26,Mini,App,Cash,89.6,1.1,98.56,4.3,4.5,Cancelled,Driver unavailable,No
100032,2023-10-16,21:53,2023,October,Monday,Pune,2904,2501,Male,36,Indiranagar,Whitefield,21.1,30,Sedan,App,Cash,303.2,1.5,454.8,4.0,3.6,Cancelled,Driver unavailable,Yes
100033,2024-02-17,13:57,2024,February,Saturday,Pune,2839,4518,Female,41,Wakad,Hinjewadi,4.9,51,Sedan,App,UPI,108.8,1.5,163.2,3.7,4.0,Completed,,Yes
100034,2024-02-06,22:54,2024,February,Tuesday,Delhi,2514,6503,Male,38,Rohini,Hinjewadi,6.8,63,SUV,App,Cash,131.6,1.1,144.76,4.7,4.1,Completed,,No
100035,2025-01-01,00:42,2025,January,Wednesday,Pune,3657,4477,Male,53,CP,Hinjewadi,19.5,28,SUV,App,UPI,284.0,1.5,426.0,4.9,3.8,Completed,,Yes
100036,2025-07-10,21:08,2025,July,Thursday,Hyderabad,4284,6828,Female,53,CP,CP,24.6,29,Mini,App,Cash,345.2,1.3,448.76,3.5,3.8,Completed,,Yes
100037,2024-12-29,07:49,2024,December,Sunday,Bangalore,3111,6829,Male,20,Gachibowli,Rohini,2.5,63,Sedan,App,Cash,80.0,1.5,120.0,4.8,3.8,Cancelled,App issue,Yes
100038,2023-04-12,19:16,2023,April,Wednesday,Hyderabad,3918,5404,Male,52,Gachibowli,Madhapur,14.8,59,SUV,App,Cash,227.6,1.0,227.6,4.6,4.0,Completed,,No
100039,2025-03-15,23:35,2025,March,Saturday,Hyderabad,1372,5542,Male,33,Hinjewadi,Hinjewadi,21.8,55,SUV,App,UPI,311.6,1.5,467.4,4.1,4.0,Cancelled,App issue,Yes
100040,2023-07-22,22:00,2023,July,Saturday,Hyderabad,4230,4011,Male,18,Bandra,Hinjewadi,7.8,67,SUV,App,UPI,143.6,1.5,215.4,4.3,4.8,Completed,,Yes
100041,2025-01-03,12:14,2025,January,Friday,Pune,2912,4893,Female,27,Rohini,Gachibowli,11.0,24,Mini,App,UPI,182.0,1.3,236.6,4.1,3.7,Completed,,Yes
100042,2023-02-11,14:11,2023,February,Saturday,Mumbai,1978,5509,Female,34,Wakad,Whitefield,23.1,69,Sedan,App,Cash,327.2,1.3,425.36,3.6,4.3,Completed,,Yes
100043,2025-06-21,02:46,2025,June,Saturday,Mumbai,2990,4644,Female,50,Hinjewadi,Gachibowli,11.9,58,Sedan,App,Cash,192.8,1.0,192.8,4.6,3.6,Completed,,No
100044,2025-06-12,18:39,2025,June,Thursday,Pune,2677,5285,Male,58,Rohini,Gachibowli,22.4,28,Sedan,App,UPI,318.8,1.0,318.8,4.6,4.1,Completed,,No
100045,2025-08-02,08:35,2025,August,Saturday,Pune,3033,4117,Male,39,Gachibowli,Andheri,12.3,56,SUV,App,Card,197.6,1.0,197.6,4.4,4.5,Cancelled,Customer no-show,No
100046,2023-12-13,05:57,2023,December,Wednesday,Bangalore,1954,6145,Female,51,Madhapur,CP,14.0,49,Sedan,App,UPI,218.0,1.5,327.0,4.7,4.4,Cancelled,App issue,Yes
100047,2024-08-28,23:55,2024,August,Wednesday,Pune,2639,6390,Male,23,Madhapur,Hinjewadi,11.5,44,Sedan,App,Card,188.0,1.0,188.0,4.2,4.0,Completed,,No
100048,2025-07-03,18:20,2025,July,Thursday,Delhi,3361,5626,Female,48,Wakad,Madhapur,6.7,40,Sedan,App,Card,130.4,1.3,169.52,3.8,4.2,Completed,,Yes
100049,2025-01-20,18:12,2025,January,Monday,Hyderabad,4416,6827,Male,52,Gachibowli,Wakad,9.6,26,Mini,App,Cash,165.2,1.2,198.24,4.8,4.1,Completed,,Yes
100050,2023-02-20,20:56,2023,February,Monday,Delhi,1422,4452,Male,42,Gachibowli,CP,15.9,64,SUV,App,Cash,240.8,1.1,264.88,4.3,3.7,Cancelled,Customer no-show,No
